Sample in Buffer,Sample in Window,TRIGGER,data1[3:0],data2[3:0],data3[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
0,0,1,1,2,3
1,1,0,1,2,3
2,2,0,1,2,3
3,3,0,1,2,3
4,4,0,1,2,3
5,5,0,1,2,3
6,6,0,1,2,3
7,7,0,1,2,3
8,8,0,1,2,3
9,9,0,1,2,3
10,10,0,1,2,3
11,11,0,1,2,3
12,12,0,1,2,3
13,13,0,1,2,3
14,14,0,1,2,3
15,15,0,1,2,3
16,16,0,1,2,3
17,17,0,1,2,3
18,18,0,1,2,3
19,19,0,1,2,3
20,20,0,1,2,3
21,21,0,1,2,3
22,22,0,1,2,3
23,23,0,1,2,3
24,24,0,1,2,3
25,25,0,1,2,3
26,26,0,1,2,3
27,27,0,1,2,3
28,28,0,1,2,3
29,29,0,1,2,3
30,30,0,1,2,3
31,31,0,1,2,3
32,32,0,1,2,3
33,33,0,1,2,3
34,34,0,1,2,3
35,35,0,1,2,3
36,36,0,1,2,3
37,37,0,1,2,3
38,38,0,1,2,3
39,39,0,1,2,3
40,40,0,1,2,3
41,41,0,1,2,3
42,42,0,1,2,3
43,43,0,1,2,3
44,44,0,1,2,3
45,45,0,1,2,3
46,46,0,1,2,3
47,47,0,1,2,3
48,48,0,1,2,3
49,49,0,1,2,3
50,50,0,1,2,3
51,51,0,1,2,3
52,52,0,1,2,3
53,53,0,1,2,3
54,54,0,1,2,3
55,55,0,1,2,3
56,56,0,1,2,3
57,57,0,1,2,3
58,58,0,1,2,3
59,59,0,1,2,3
60,60,0,1,2,3
61,61,0,1,2,3
62,62,0,1,2,3
63,63,0,1,2,3
64,64,0,1,2,3
65,65,0,1,2,3
66,66,0,1,2,3
67,67,0,1,2,3
68,68,0,1,2,3
69,69,0,1,2,3
70,70,0,1,2,3
71,71,0,1,2,3
72,72,0,1,2,3
73,73,0,1,2,3
74,74,0,1,2,3
75,75,0,1,2,3
76,76,0,1,2,3
77,77,0,1,2,3
78,78,0,1,2,3
79,79,0,1,2,3
80,80,0,1,2,3
81,81,0,1,2,3
82,82,0,1,2,3
83,83,0,1,2,3
84,84,0,1,2,3
85,85,0,1,2,3
86,86,0,1,2,3
87,87,0,1,2,3
88,88,0,1,2,3
89,89,0,1,2,3
90,90,0,1,2,3
91,91,0,1,2,3
92,92,0,1,2,3
93,93,0,1,2,3
94,94,0,1,2,3
95,95,0,1,2,3
96,96,0,1,2,3
97,97,0,1,2,3
98,98,0,1,2,3
99,99,0,1,2,3
100,100,0,1,2,3
101,101,0,1,2,3
102,102,0,1,2,3
103,103,0,1,2,3
104,104,0,1,2,3
105,105,0,1,2,3
106,106,0,1,2,3
107,107,0,1,2,3
108,108,0,1,2,3
109,109,0,1,2,3
110,110,0,1,2,3
111,111,0,1,2,3
112,112,0,1,2,3
113,113,0,1,2,3
114,114,0,1,2,3
115,115,0,1,2,3
116,116,0,1,2,3
117,117,0,1,2,3
118,118,0,1,2,3
119,119,0,1,2,3
120,120,0,1,2,3
121,121,0,1,2,3
122,122,0,1,2,3
123,123,0,1,2,3
124,124,0,1,2,3
125,125,0,1,2,3
126,126,0,1,2,3
127,127,0,1,2,3
128,128,0,1,2,3
129,129,0,1,2,3
130,130,0,1,2,3
131,131,0,1,2,3
132,132,0,1,2,3
133,133,0,1,2,3
134,134,0,1,2,3
135,135,0,1,2,3
136,136,0,1,2,3
137,137,0,1,2,3
138,138,0,1,2,3
139,139,0,1,2,3
140,140,0,1,2,3
141,141,0,1,2,3
142,142,0,1,2,3
143,143,0,1,2,3
144,144,0,1,2,3
145,145,0,1,2,3
146,146,0,1,2,3
147,147,0,1,2,3
148,148,0,1,2,3
149,149,0,1,2,3
150,150,0,1,2,3
151,151,0,1,2,3
152,152,0,1,2,3
153,153,0,1,2,3
154,154,0,1,2,3
155,155,0,1,2,3
156,156,0,1,2,3
157,157,0,1,2,3
158,158,0,1,2,3
159,159,0,1,2,3
160,160,0,1,2,3
161,161,0,1,2,3
162,162,0,1,2,3
163,163,0,1,2,3
164,164,0,1,2,3
165,165,0,1,2,3
166,166,0,1,2,3
167,167,0,1,2,3
168,168,0,1,2,3
169,169,0,1,2,3
